Begin Test:

  a_i = 00000010, b_i = 10100111
  a_i = 00000010, b_i = 10101000
  a_i = 00000010, b_i = 10101001
  a_i = 00000010, b_i = 10101010
  a_i = 00000010, b_i = 10101011
  a_i = 00000010, b_i = 10101100
  a_i = 00000010, b_i = 10101101
  a_i = 00000010, b_i = 10101110
  a_i = 00000010, b_i = 10101111
  a_i = 00000010, b_i = 10110000
  a_i = 00000010, b_i = 10110001
  a_i = 00000010, b_i = 10110010
  a_i = 00000010, b_i = 10110011
  a_i = 00000010, b_i = 10110100
  a_i = 00000010, b_i = 10110101
  a_i = 00000010, b_i = 10110110
  a_i = 00000010, b_i = 10110111
  a_i = 00000010, b_i = 10111000
  a_i = 00000010, b_i = 10111001
  a_i = 00000010, b_i = 10111010
  a_i = 00000010, b_i = 10111011
  a_i = 00000010, b_i = 10111100
  a_i = 00000010, b_i = 10111101
  a_i = 00000010, b_i = 10111110
  a_i = 00000010, b_i = 10111111
  a_i = 00000010, b_i = 11000000
  a_i = 00000010, b_i = 11000001
  a_i = 00000010, b_i = 11000010
  a_i = 00000010, b_i = 11000011
  a_i = 00000010, b_i = 11000100
  a_i = 00000010, b_i = 11000101
  a_i = 00000010, b_i = 11000110
  a_i = 00000010, b_i = 11000111
  a_i = 00000010, b_i = 11001000
  a_i = 00000010, b_i = 11001001
  a_i = 00000010, b_i = 11001010
  a_i = 00000010, b_i = 11001011
  a_i = 00000010, b_i = 11001100
  a_i = 00000010, b_i = 11001101
  a_i = 00000010, b_i = 11001110
  a_i = 00000010, b_i = 11001111
  a_i = 00000010, b_i = 11010000
  a_i = 00000010, b_i = 11010001
  a_i = 00000010, b_i = 11010010
  a_i = 00000010, b_i = 11010011
  a_i = 00000010, b_i = 11010100
  a_i = 00000010, b_i = 11010101
  a_i = 00000010, b_i = 11010110
  a_i = 00000010, b_i = 11010111
  a_i = 00000010, b_i = 11011000
  a_i = 00000010, b_i = 11011001
  a_i = 00000010, b_i = 11011010
  a_i = 00000010, b_i = 11011011
  a_i = 00000010, b_i = 11011100
  a_i = 00000010, b_i = 11011101
